Description,Package,Quantity,Value,LCSC  Part Number
C18,CP_Elec_10x10.5,1,330uF,C19606
JP3,PinSocket_1x02_P2.00mm_Vertical,1,M2_UART_OP1,C225254
U2,SO-8_3.9x4.9mm_P1.27mm,1,MCP2542FDxMF,C220598
J1,TerminalBlock_bornier-2_P5.08mm,1,DC12V/24V,C474952
"C5,C9",C_0805_2012Metric,2,4.7uF,C1761
R1,R_0805_2012Metric,1,120Ω,C114245
"C7,C8",C_0805_2012Metric,2,10uF,C15850
U5,SO-8_3.9x4.9mm_P1.27mm,1,CAT24C256,C79987
"H2,H4,H1,H3",MountingHole_3.2mm_M3_Pad,4,MountingHole,
"C2,C3",C_0805_2012Metric,2,100nF,C1711
"C11,C12",CP_Elec_6.3x7.7,2,100uF,C2836442
"C1,C4,C6",C_0805_2012Metric,3,1uF,C1761
SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,SW_Push,C2837532
IC1,SOIC127P600X170-9N,1,TPS5450DDA,C114425
"TP7,TP1,TP8,TP6,TP4,TP2,TP5",TestPoint_Pad_2.0x2.0mm,7,TestPoint,
JP1,PinHeader_1x02_P2.00mm_Vertical,1,M1_UART_OP1,C225254
L1,Power Inductor 10x11,1,15uH,C439295
J8,IDC-Header_2x05_P2.54mm_Vertical,1,EXP1,C2977596
JP9,PinHeader_1x02_P2.00mm_Vertical,1,120JP,C225254
"C19,C16,C17",C_0805_2012Metric,3,10nF,C1710
J10,TerminalBlock_bornier-2_P5.08mm,1,CAN_L,C474952
U3,RPi_Pico_SMD_TH,2,Pico,C429947
J4,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Motor 1,C144395
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX232,C158068
J5,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,1,Motor 2,C144395
R6,R_0805_2012Metric,1,3.16K,C218553
R3,R_0805_2012Metric,1,1K,C309081
R2,R_0805_2012Metric,1,10K,C115295
D1,DO-214AC,1,SS54,C22452
JP4,PinSocket_1x02_P2.00mm_Vertical,1,M2_UART_OP2,C225254
J7,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,NULL Modem,C426221
J3,Conn_StepStick,2,TMC2209 Motor 2,C27438
J6,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Straight Through,C426221
J2,Conn_StepStick,2,TMC2209 Motor 1,C27438
J9,IDC-Header_2x05_P2.54mm_Vertical,1,EXP2,C2977596
JP2,PinHeader_1x02_P2.00mm_Vertical,1,M1_UART_OP2,C225254
