Comment,Designator,Footprint,LCSC
TPS5450DDA,IC1,SOIC127P600X170-9N,C114425
Motor 1,"J4,J5",JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
10nF,"C10,C13,C15,C16,C4",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710
10K,"R1,R3,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
1K,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
300,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17617
4.7k,"R6,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
680,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17798
MAX3232,U1,SOIC-16_3.9x9.9mm_P1.27mm,C18261
330uF,C12,CP_Elec_10x10.5,C19606
SS54,D1,DO-214AC,C22452
74LVC1G125,U4,SOT-23-5,C23654
TMC2209 Motor 1,"J2,J3",Conn_StepStick_smaller_hole,C27438
100uF,"C8,C9",CP_Elec_6.3x7.7,C2836442
SW_Push,SW1,SW_Push_1P1T_NO_6x6mm_H9.5mm,C2837532
EXP1,"J8,J9",IDC-Header_2x05_P2.54mm_Vertical,C2977596
~,J6,DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,C305942
Pico,U2,RPi_Pico_SMD_TH,C429947
15uH,L1,Power Inductor 10x11,C439295
DC12V/24V,J1,TerminalBlock_bornier-2_P5.08mm,C474952
100nF,"C11,C14,C2,C5,C6,C7",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
AMS1117-3.3,U5,SOT-223-3_TabPin2,C5181460
3.16K,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C52603
~,"JP5,JP6,JP7",PinHeader_1x03_P2.00mm_Vertical,C541857
CAT24C256,U3,SO-8_3.9x4.9mm_P1.27mm,C79987
GREEN,"D2,D3,D4",D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
4.7uF,"C1,C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C98192
~,TP5,TestPoint_Pad_2.0x2.0mm,
~,TP3,TestPoint_Pad_2.0x2.0mm,
~,TP2,TestPoint_Pad_2.0x2.0mm,
~,TP4,TestPoint_Pad_2.0x2.0mm,
~,TP_UART1,TestPoint_Pad_2.0x2.0mm,
