"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C18";"CP_Elec_10x10.5";1;"330uF";;;
2;"JP3";"PinSocket_1x02_P2.00mm_Vertical";1;"M2_UART_OP1";;;
3;"U2";"SO-8_3.9x4.9mm_P1.27mm";1;"MCP2542FDxMF";;;
4;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"DC12V/24V";;;
5;"C5,C9";"C_0805_2012Metric";2;"4.7uF";;;
6;"R1";"R_0805_2012Metric";1;"120Ω";;;
7;"C7,C8";"C_0805_2012Metric";2;"10uF";;;
8;"U5";"SO-8_3.9x4.9mm_P1.27mm";1;"CAT24C256";;;
9;"H2,H4,H1,H3";"MountingHole_3.2mm_M3_Pad";4;"MountingHole";;;
10;"C2,C3";"C_0805_2012Metric";2;"100nF";;;
11;"C11,C12";"CP_Elec_6.3x7.7";2;"100uF";;;
12;"C1,C4,C6";"C_0805_2012Metric";3;"1uF";;;
13;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"SW_Push";;;
14;"IC1";"SOIC127P600X170-9N";1;"TPS5450DDA";;;
15;"TP7,TP1,TP8,TP6,TP4,TP2,TP5";"TestPoint_Pad_2.0x2.0mm";7;"TestPoint";;;
16;"JP1";"PinHeader_1x02_P2.00mm_Vertical";1;"M1_UART_OP1";;;
17;"L1";"Power Inductor 10x11";1;"15uH";;;
18;"J8";"IDC-Header_2x05_P2.54mm_Vertical";1;"EXP1";;;
19;"JP9";"PinHeader_1x02_P2.00mm_Vertical";1;"120JP";;;
20;"C19,C16,C17";"C_0805_2012Metric";3;"10nF";;;
21;"J10";"TerminalBlock_bornier-2_P5.08mm";1;"CAN_L";;;
22;"U3";"RPi_Pico_SMD_TH";1;"Pico";;;
23;"J4";"JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical";1;"Motor 1";;;
24;"U1";"SOIC-16_3.9x9.9mm_P1.27mm";1;"MAX232";;;
25;"J5";"JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical";1;"Motor 2";;;
26;"R6";"R_0805_2012Metric";1;"3.16K";;;
27;"R3";"R_0805_2012Metric";1;"1K";;;
28;"R2";"R_0805_2012Metric";1;"10K";;;
29;"D1";"DO-214AC";1;"SS54";;;
30;"JP4";"PinSocket_1x02_P2.00mm_Vertical";1;"M2_UART_OP2";;;
31;"J7";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"NULL Modem";;;
32;"J3";"Conn_StepStick";1;"TMC2209 Motor 2";;;
33;"J6";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"Straight Through";;;
34;"J2";"Conn_StepStick";1;"TMC2209 Motor 1";;;
35;"J9";"IDC-Header_2x05_P2.54mm_Vertical";1;"EXP2";;;
36;"JP2";"PinHeader_1x02_P2.00mm_Vertical";1;"M1_UART_OP2";;;
